year,category,nominationId,nomineeNames,nomineeIds,nominatorNames,nominatorIds,showUrl,listUrl
1975,physics,25352,André Lallemand,10955,Gaston Dupouy,13836,https://www.nobelprize.org/nomination/archive/show.php?id=25352&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25353,Leon Max Lederman,10957,P. Chevallier,19884,https://www.nobelprize.org/nomination/archive/show.php?id=25353&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25354,Vladimir Mikhailovich Lobashov,19885,Robert Lewis Jr.,19886,https://www.nobelprize.org/nomination/archive/show.php?id=25354&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25355,Olli Viktor Lounasmaa,14479,Erich Huster,14507,https://www.nobelprize.org/nomination/archive/show.php?id=25355&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25583,Harrie Stewart Wilson Massey,10548,Robert Lewis Fullarton Boyd,14266,https://www.nobelprize.org/nomination/archive/show.php?id=25583&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25582,Harrie Stewart Wilson Massey,10548,Eric Henry Stoneley Burhop,13177,https://www.nobelprize.org/nomination/archive/show.php?id=25582&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25357,Bernd Theodor Matthias,13350,Keith Allen Brueckner,15456,https://www.nobelprize.org/nomination/archive/show.php?id=25357&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25358,Herbert Mayer,19894,E. Badaran,19895,https://www.nobelprize.org/nomination/archive/show.php?id=25358&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25592,Nevill Francis Mott,6467,Hans-Uno Åström,14208,https://www.nobelprize.org/nomination/archive/show.php?id=25592&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25591,Nevill Francis Mott,6467,Tore Olsen,14573,https://www.nobelprize.org/nomination/archive/show.php?id=25591&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25590,Nevill Francis Mott,6467,Lars Tore Hedin,16368,https://www.nobelprize.org/nomination/archive/show.php?id=25590&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25589,Nevill Francis Mott,6467,Stig Hagström,16367,https://www.nobelprize.org/nomination/archive/show.php?id=25589&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25588,Nevill Francis Mott,6467,John Edwin Enderby,15981,https://www.nobelprize.org/nomination/archive/show.php?id=25588&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25587,Nevill Francis Mott,6467,Brian Randell Coles,15366,https://www.nobelprize.org/nomination/archive/show.php?id=25587&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25586,Nevill Francis Mott,6467,William (Bill) Cochran,16281,https://www.nobelprize.org/nomination/archive/show.php?id=25586&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25585,Nevill Francis Mott,6467,John Beeby,19898,https://www.nobelprize.org/nomination/archive/show.php?id=25585&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25584,Nevill Francis Mott,6467,Ernst Alexander,19897,https://www.nobelprize.org/nomination/archive/show.php?id=25584&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25360,Erwin Wilhelm Müller,6562,Michael Drechsler,19907,https://www.nobelprize.org/nomination/archive/show.php?id=25360&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25361,Yoichiro Nambu,14565,Takehiko Takabayasi,13156,https://www.nobelprize.org/nomination/archive/show.php?id=25361&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25362,Serge Nikitine,13148,Hermann Haken,19910,https://www.nobelprize.org/nomination/archive/show.php?id=25362&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25363,Jan Hendrik Oort,10641,Ludwig Franz Benedikt Biermann,18333,https://www.nobelprize.org/nomination/archive/show.php?id=25363&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25364,Rudolf Ernst Peierls,13272,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25364&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25596,Ilya Romanovich Prigogine,10583,Rupert Wildt,15502,https://www.nobelprize.org/nomination/archive/show.php?id=25596&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25595,Ilya Romanovich Prigogine,10583,Gilbert Laustriat,19918,https://www.nobelprize.org/nomination/archive/show.php?id=25595&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25594,Ilya Romanovich Prigogine,10583,Paul Glansdorff,15464,https://www.nobelprize.org/nomination/archive/show.php?id=25594&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25593,Ilya Romanovich Prigogine,10583,Manfred Eigen,13019,https://www.nobelprize.org/nomination/archive/show.php?id=25593&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25598,Norman Foster Ramsey,11049,Pierre Jacquinot,10575,https://www.nobelprize.org/nomination/archive/show.php?id=25598&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25597,Norman Foster Ramsey,11049,Gerhard Herzberg,11155,https://www.nobelprize.org/nomination/archive/show.php?id=25597&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25367,Frederick Reines,10796,Oliver Enoch Overseth,19924,https://www.nobelprize.org/nomination/archive/show.php?id=25367&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25600,Marshall Nicholas Rosenbluth,16384,William Thompson,9236,https://www.nobelprize.org/nomination/archive/show.php?id=25600&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25599,Marshall Nicholas Rosenbluth,16384,John Holmes Malmberg,19926,https://www.nobelprize.org/nomination/archive/show.php?id=25599&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25369,Bruno Benedetto Rossi,7898,Satio Hayakawa,13159,https://www.nobelprize.org/nomination/archive/show.php?id=25369&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25609,Abdus Salam,10876,Antonio Rostagni,14443,https://www.nobelprize.org/nomination/archive/show.php?id=25609&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25608,Abdus Salam,10876,Nicholas Kemmer,10570,https://www.nobelprize.org/nomination/archive/show.php?id=25608&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25607,Abdus Salam,10876,Harold Horace Hopkins,19936,https://www.nobelprize.org/nomination/archive/show.php?id=25607&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25606,Abdus Salam,10876,Dennis Gabor,3289,https://www.nobelprize.org/nomination/archive/show.php?id=25606&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25605,Abdus Salam,10876,Samuel Frederick Edwards,13850,https://www.nobelprize.org/nomination/archive/show.php?id=25605&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25604,Abdus Salam,10876,Angelo Drigo,19933,https://www.nobelprize.org/nomination/archive/show.php?id=25604&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25603,Abdus Salam,10876,Paul Adrien Maurice Dirac,2447,https://www.nobelprize.org/nomination/archive/show.php?id=25603&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25602,Abdus Salam,10876,Clifford Butler,11408,https://www.nobelprize.org/nomination/archive/show.php?id=25602&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25601,Abdus Salam,10876,William Ernst Burcham,10525,https://www.nobelprize.org/nomination/archive/show.php?id=25601&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25371,Allan Rex Sandage,19939,Edoardo Amaldi,398,https://www.nobelprize.org/nomination/archive/show.php?id=25371&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25372,Kai Manne Börje Siegbahn,15795,Gyula Csikai,16366,https://www.nobelprize.org/nomination/archive/show.php?id=25372&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25373,John Clark Slater,8589,Rezsö Gáspár,18237,https://www.nobelprize.org/nomination/archive/show.php?id=25373&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25375,Bruno Touschek,19947,Giorgio Salvini,13178,https://www.nobelprize.org/nomination/archive/show.php?id=25375&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25377,James Van Allen,11024,Harald Trefall,14510,https://www.nobelprize.org/nomination/archive/show.php?id=25377&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25378,Léon Charles Prudent van Hove,10931,Hans-Dieter Quitmann,19954,https://www.nobelprize.org/nomination/archive/show.php?id=25378&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25612,John Hasbrouck Van Vleck,9551,George Tibor Rado,19958,https://www.nobelprize.org/nomination/archive/show.php?id=25612&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25611,John Hasbrouck Van Vleck,9551,Emanuel Richard Cohen,19957,https://www.nobelprize.org/nomination/archive/show.php?id=25611&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25610,John Hasbrouck Van Vleck,9551,Joseph Artman,19956,https://www.nobelprize.org/nomination/archive/show.php?id=25610&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25614,Victor Frederick Weisskopf,10067,Ludwik Natanson,20410,https://www.nobelprize.org/nomination/archive/show.php?id=25614&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25613,Victor Frederick Weisskopf,10067,Shuji Fukui,14256,https://www.nobelprize.org/nomination/archive/show.php?id=25613&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25381,Rolf Wideröe,10703,Dietrich Frost,19963,https://www.nobelprize.org/nomination/archive/show.php?id=25381&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25617,Kenneth Geddes Wilson,20096,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25617&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25616,Kenneth Geddes Wilson,20096,Wolfgang Klose,19965,https://www.nobelprize.org/nomination/archive/show.php?id=25616&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25619,Chien-Shiung Wu,10859,Vernon Willard Hughes,13289,https://www.nobelprize.org/nomination/archive/show.php?id=25619&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25618,Chien-Shiung Wu,10859,Tor Ragnar Gerholm,18256,https://www.nobelprize.org/nomination/archive/show.php?id=25618&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25384,William Houlder Zachariasen,15474,Bernd Theodor Matthias,13350,https://www.nobelprize.org/nomination/archive/show.php?id=25384&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25621,Evgenij Konstantinovitj Zavojskij,19971,Vitaly Lazarevich Ginzburg,16350,https://www.nobelprize.org/nomination/archive/show.php?id=25621&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25620,Evgenij Konstantinovitj Zavojskij,19971,George Feher,15496,https://www.nobelprize.org/nomination/archive/show.php?id=25620&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25386,Konrad Zuse,14558,Werner Herzog,19975,https://www.nobelprize.org/nomination/archive/show.php?id=25386&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25387,Teijo Erik Vilhelm Åberg,19976,Unto Kalervo Korhonen,19977,https://www.nobelprize.org/nomination/archive/show.php?id=25387&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25388,Alexei Alexeyevich Abrikosov | Philip Warren Anderson,15475 | 14569,Leon Neil Cooper,11409,https://www.nobelprize.org/nomination/archive/show.php?id=25388&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25389,Philip Warren Anderson | Jacques Friedel,14569 | 14242,Philippe Nozieres,19981,https://www.nobelprize.org/nomination/archive/show.php?id=25389&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25390,Nikolai Nikolaevich (N. A.) Bogoljubov | Cesare Mansueto Giulio Lattes,19982 | 5265,Gleb Vassielievich Wataghin,10004,https://www.nobelprize.org/nomination/archive/show.php?id=25390&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25638,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25638&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25635,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Aage Winther | Christian Möller | Bengt Strömgren,15482 | 18168 | 15431,https://www.nobelprize.org/nomination/archive/show.php?id=25635&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25634,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Hans Wilhelmsson,18268,https://www.nobelprize.org/nomination/archive/show.php?id=25634&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25633,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Robert Tickle,19998,https://www.nobelprize.org/nomination/archive/show.php?id=25633&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25632,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Raymond Sheline,16554,https://www.nobelprize.org/nomination/archive/show.php?id=25632&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25631,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25631&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25630,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,William Charles Parkinson,19995,https://www.nobelprize.org/nomination/archive/show.php?id=25630&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25629,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25629&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25628,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Paavo Juhani Kantele,19993,https://www.nobelprize.org/nomination/archive/show.php?id=25628&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25627,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Alpo Kallio,16550,https://www.nobelprize.org/nomination/archive/show.php?id=25627&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25626,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25626&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25625,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Torsten Valdemar Gustafson,19990,https://www.nobelprize.org/nomination/archive/show.php?id=25625&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25624,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Gerhard Fricke,19989,https://www.nobelprize.org/nomination/archive/show.php?id=25624&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25623,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Bengt Gustav Peter Forkman,18274,https://www.nobelprize.org/nomination/archive/show.php?id=25623&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25622,Aage Niels Bohr | Ben Roy Mottelson,11404 | 11405,Gerald Edward Brown,19986,https://www.nobelprize.org/nomination/archive/show.php?id=25622&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25640,Brookhaven National Laboratory | CERN,20404 | 20405,Gerhard Ulrich Schubert,14546,https://www.nobelprize.org/nomination/archive/show.php?id=25640&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25639,Brookhaven National Laboratory | CERN,20404 | 20405,Ernst-Wilhelm Otten,20003,https://www.nobelprize.org/nomination/archive/show.php?id=25639&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
1975,physics,25393,Brookhaven National Laboratory | Stanford Linear Accelerator Center (SLAC National Accelerator Laboratory),20404 | 20406,N.N.,,https://www.nobelprize.org/nomination/archive/show.php?id=25393&mode=,https://www.nobelprize.org/nomination/archive/list.php?prize=1&year=1975
